Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.0035657987 |
|    clip_fraction        | 0.0291       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.000643     |
|    learning_rate        | 0.0003       |
|    loss                 | 3.93e+03     |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.0024      |
|    std                  | 0.937        |
|    value_loss           | 8.09e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 200        |
|    ep_rew_mean          | -1.22e+03  |
| time/                   |            |
|    fps                  | 141        |
|    iterations           | 8          |
|    time_elapsed         | 115        |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.00440606 |
|    clip_fraction        | 0.0246     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.36      |
|    explained_variance   | 0.00102    |
|    learning_rate        | 0.0003     |
|    loss                 | 3.32e+03   |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.00211   |
|    std                  | 0.949      |
|    value_loss           | 5.54e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.22e+03    |
| time/                   |              |
|    fps                  | 154          |
|    iterations           | 9            |
|    time_elapsed         | 119          |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0032404978 |
|    clip_fraction        | 0.0525       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.00022      |
|    learning_rate        | 0.0003       |
|    loss                 | 1.89e+03     |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0038      |
|    std                  | 0.956        |
|    value_loss           | 4.54e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.21e+03   |
| time/                   |             |
|    fps                  | 164         |
|    iterations           | 10          |
|    time_elapsed         | 124         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.004134572 |
|    clip_fraction        | 0.0284      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 7.38e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.72e+03    |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00314    |
|    std                  | 0.931       |
|    value_loss           | 5.88e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.22e+03    |
| time/                   |              |
|    fps                  | 174          |
|    iterations           | 11           |
|    time_elapsed         | 128          |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0028245142 |
|    clip_fraction        | 0.0321       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 8.8e-05      |
|    learning_rate        | 0.0003       |
|    loss                 | 1.27e+03     |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00233     |
|    std                  | 0.92         |
|    value_loss           | 4.27e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.19e+03    |
| time/                   |              |
|    fps                  | 185          |
|    iterations           | 12           |
|    time_elapsed         | 132          |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0024825633 |
|    clip_fraction        | 0.0111       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 4.53e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.7e+03      |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.000823    |
|    std                  | 0.903        |
|    value_loss           | 4.23e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.17e+03    |
| time/                   |              |
|    fps                  | 192          |
|    iterations           | 13           |
|    time_elapsed         | 138          |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0046773492 |
|    clip_fraction        | 0.0297       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | 5.23e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.44e+03     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00233     |
|    std                  | 0.876        |
|    value_loss           | 2.88e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.15e+03    |
| time/                   |              |
|    fps                  | 201          |
|    iterations           | 14           |
|    time_elapsed         | 142          |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0025481498 |
|    clip_fraction        | 0.0253       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.28        |
|    explained_variance   | 1.97e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.62e+03     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00169     |
|    std                  | 0.858        |
|    value_loss           | 4.3e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.13e+03   |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 15          |
|    time_elapsed         | 145         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.004776933 |
|    clip_fraction        | 0.0338      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.26       |
|    explained_variance   | 2.52e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.28e+03    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00277    |
|    std                  | 0.853       |
|    value_loss           | 3.31e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.12e+03    |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 16           |
|    time_elapsed         | 149          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0049259886 |
|    clip_fraction        | 0.0326       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 1.61e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.07e+03     |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00136     |
|    std                  | 0.845        |
|    value_loss           | 2.76e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.12e+03    |
| time/                   |              |
|    fps                  | 222          |
|    iterations           | 17           |
|    time_elapsed         | 156          |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0040079053 |
|    clip_fraction        | 0.0372       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 7.33e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.06e+03     |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00296     |
|    std                  | 0.838        |
|    value_loss           | 3.25e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.12e+03   |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 18          |
|    time_elapsed         | 160         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.003659959 |
|    clip_fraction        | 0.0266      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.23       |
|    explained_variance   | 4.53e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.48e+03    |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00134    |
|    std                  | 0.825       |
|    value_loss           | 2.92e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.11e+03    |
| time/                   |              |
|    fps                  | 235          |
|    iterations           | 19           |
|    time_elapsed         | 165          |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0037399698 |
|    clip_fraction        | 0.0199       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.21        |
|    explained_variance   | 4.77e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.15e+03     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00108     |
|    std                  | 0.804        |
|    value_loss           | 2.65e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.1e+03     |
| time/                   |              |
|    fps                  | 241          |
|    iterations           | 20           |
|    time_elapsed         | 169          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0045552785 |
|    clip_fraction        | 0.0478       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.21        |
|    explained_variance   | 4.17e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 874          |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00238     |
|    std                  | 0.809        |
|    value_loss           | 1.82e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.08e+03    |
| time/                   |              |
|    fps                  | 248          |
|    iterations           | 21           |
|    time_elapsed         | 173          |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0027124863 |
|    clip_fraction        | 0.0257       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.2         |
|    explained_variance   | 3.28e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 532          |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.000539    |
|    std                  | 0.802        |
|    value_loss           | 1.84e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.09e+03   |
| time/                   |             |
|    fps                  | 253         |
|    iterations           | 22          |
|    time_elapsed         | 177         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.005912583 |
|    clip_fraction        | 0.0461      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.2        |
|    explained_variance   | 3.52e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 646         |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00226    |
|    std                  | 0.807       |
|    value_loss           | 1.53e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.08e+03    |
| time/                   |              |
|    fps                  | 260          |
|    iterations           | 23           |
|    time_elapsed         | 180          |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0035331915 |
|    clip_fraction        | 0.0321       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.2         |
|    explained_variance   | 4.17e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 568          |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00152     |
|    std                  | 0.808        |
|    value_loss           | 1.72e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.07e+03    |
| time/                   |              |
|    fps                  | 266          |
|    iterations           | 24           |
|    time_elapsed         | 184          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0056478595 |
|    clip_fraction        | 0.061        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.19        |
|    explained_variance   | 3.7e-06      |
|    learning_rate        | 0.0003       |
|    loss                 | 879          |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00361     |
|    std                  | 0.786        |
|    value_loss           | 1.82e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.07e+03   |
| time/                   |             |
|    fps                  | 271         |
|    iterations           | 25          |
|    time_elapsed         | 188         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.004434127 |
|    clip_fraction        | 0.0448      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.17       |
|    explained_variance   | 2.86e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 709         |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00251    |
|    std                  | 0.78        |
|    value_loss           | 1.68e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.06e+03   |
| time/                   |             |
|    fps                  | 277         |
|    iterations           | 26          |
|    time_elapsed         | 191         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.004103942 |
|    clip_fraction        | 0.055       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 2.32e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 586         |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00302    |
|    std                  | 0.764       |
|    value_loss           | 1.36e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.05e+03    |
| time/                   |              |
|    fps                  | 279          |
|    iterations           | 27           |
|    time_elapsed         | 197          |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0053350404 |
|    clip_fraction        | 0.0524       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.14        |
|    explained_variance   | 2.86e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 470          |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00262     |
|    std                  | 0.749        |
|    value_loss           | 1.01e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.05e+03   |
| time/                   |             |
|    fps                  | 283         |
|    iterations           | 28          |
|    time_elapsed         | 202         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.005089392 |
|    clip_fraction        | 0.0432      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 2.03e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 408         |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00169    |
|    std                  | 0.728       |
|    value_loss           | 1.33e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.05e+03    |
| time/                   |              |
|    fps                  | 287          |
|    iterations           | 29           |
|    time_elapsed         | 206          |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0061790543 |
|    clip_fraction        | 0.0668       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 2.09e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 252          |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00179     |
|    std                  | 0.706        |
|    value_loss           | 1.08e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.06e+03   |
| time/                   |             |
|    fps                  | 292         |
|    iterations           | 30          |
|    time_elapsed         | 209         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.013200594 |
|    clip_fraction        | 0.0431      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 2.38e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 377         |
|    n_updates            | 290         |
|    policy_gradient_loss | 0.000754    |
|    std                  | 0.706       |
|    value_loss           | 998         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.06e+03    |
| time/                   |              |
|    fps                  | 296          |
|    iterations           | 31           |
|    time_elapsed         | 213          |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0038595514 |
|    clip_fraction        | 0.0305       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 2.09e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 382          |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.0012      |
|    std                  | 0.716        |
|    value_loss           | 1.08e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.07e+03    |
| time/                   |              |
|    fps                  | 293          |
|    iterations           | 32           |
|    time_elapsed         | 223          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0029359981 |
|    clip_fraction        | 0.106        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 2.86e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 303          |
|    n_updates            | 310          |
|    policy_gradient_loss | 0.00533      |
|    std                  | 0.712        |
|    value_loss           | 658          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.06e+03    |
| time/                   |              |
|    fps                  | 287          |
|    iterations           | 33           |
|    time_elapsed         | 234          |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0027891938 |
|    clip_fraction        | 0.0132       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 0.237        |
|    learning_rate        | 0.0003       |
|    loss                 | 590          |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00153     |
|    std                  | 0.707        |
|    value_loss           | 1.11e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.05e+03    |
| time/                   |              |
|    fps                  | 288          |
|    iterations           | 34           |
|    time_elapsed         | 241          |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0026451817 |
|    clip_fraction        | 0.0213       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.45         |
|    learning_rate        | 0.0003       |
|    loss                 | 330          |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00122     |
|    std                  | 0.692        |
|    value_loss           | 563          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.04e+03    |
| time/                   |              |
|    fps                  | 291          |
|    iterations           | 35           |
|    time_elapsed         | 246          |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0037089903 |
|    clip_fraction        | 0.0257       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.429        |
|    learning_rate        | 0.0003       |
|    loss                 | 324          |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00259     |
|    std                  | 0.685        |
|    value_loss           | 540          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.03e+03    |
| time/                   |              |
|    fps                  | 294          |
|    iterations           | 36           |
|    time_elapsed         | 250          |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0062745893 |
|    clip_fraction        | 0.0593       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.625        |
|    learning_rate        | 0.0003       |
|    loss                 | 94.6         |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00407     |
|    std                  | 0.694        |
|    value_loss           | 268          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.04e+03    |
| time/                   |              |
|    fps                  | 298          |
|    iterations           | 37           |
|    time_elapsed         | 254          |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0043688784 |
|    clip_fraction        | 0.0472       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.579        |
|    learning_rate        | 0.0003       |
|    loss                 | 88.6         |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00361     |
|    std                  | 0.697        |
|    value_loss           | 281          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.03e+03   |
| time/                   |             |
|    fps                  | 300         |
|    iterations           | 38          |
|    time_elapsed         | 258         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.006878816 |
|    clip_fraction        | 0.085       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.618       |
|    learning_rate        | 0.0003      |
|    loss                 | 130         |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0061     |
|    std                  | 0.693       |
|    value_loss           | 451         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.02e+03   |
| time/                   |             |
|    fps                  | 302         |
|    iterations           | 39          |
|    time_elapsed         | 264         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.008289563 |
|    clip_fraction        | 0.0709      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.624       |
|    learning_rate        | 0.0003      |
|    loss                 | 109         |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00348    |
|    std                  | 0.68        |
|    value_loss           | 285         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.01e+03    |
| time/                   |              |
|    fps                  | 306          |
|    iterations           | 40           |
|    time_elapsed         | 267          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0038959396 |
|    clip_fraction        | 0.0325       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.67         |
|    learning_rate        | 0.0003       |
|    loss                 | 178          |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00156     |
|    std                  | 0.682        |
|    value_loss           | 277          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.01e+03    |
| time/                   |              |
|    fps                  | 308          |
|    iterations           | 41           |
|    time_elapsed         | 271          |
|    total_timesteps      | 83968        |
| train/                  |              |
|    approx_kl            | 0.0037070587 |
|    clip_fraction        | 0.0334       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.813        |
|    learning_rate        | 0.0003       |
|    loss                 | 117          |
|    n_updates            | 400          |
|    policy_gradient_loss | 0.00062      |
|    std                  | 0.677        |
|    value_loss           | 237          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1e+03       |
| time/                   |              |
|    fps                  | 311          |
|    iterations           | 42           |
|    time_elapsed         | 276          |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0031083087 |
|    clip_fraction        | 0.0407       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.754        |
|    learning_rate        | 0.0003       |
|    loss                 | 186          |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00226     |
|    std                  | 0.676        |
|    value_loss           | 436          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -992        |
| time/                   |             |
|    fps                  | 314         |
|    iterations           | 43          |
|    time_elapsed         | 279         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.005777435 |
|    clip_fraction        | 0.0548      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.802       |
|    learning_rate        | 0.0003      |
|    loss                 | 93.7        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0015     |
|    std                  | 0.68        |
|    value_loss           | 252         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 200        |
|    ep_rew_mean          | -992       |
| time/                   |            |
|    fps                  | 318        |
|    iterations           | 44         |
|    time_elapsed         | 283        |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.00534021 |
|    clip_fraction        | 0.0535     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.03      |
|    explained_variance   | 0.685      |
|    learning_rate        | 0.0003     |
|    loss                 | 103        |
|    n_updates            | 430        |
|    policy_gradient_loss | -0.00321   |
|    std                  | 0.669      |
|    value_loss           | 277        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -996         |
| time/                   |              |
|    fps                  | 321          |
|    iterations           | 45           |
|    time_elapsed         | 286          |
|    total_timesteps      | 92160        |
| train/                  |              |
