Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    loss                 | 1.68e+03     |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.000863    |
|    std                  | 0.926        |
|    value_loss           | 3.09e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.07e+03   |
| time/                   |             |
|    fps                  | 694         |
|    iterations           | 22          |
|    time_elapsed         | 64          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.002451041 |
|    clip_fraction        | 0.0285      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 3.28e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.11e+03    |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00134    |
|    std                  | 0.924       |
|    value_loss           | 2.48e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.08e+03    |
| time/                   |              |
|    fps                  | 694          |
|    iterations           | 23           |
|    time_elapsed         | 67           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0041632717 |
|    clip_fraction        | 0.0365       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 3.22e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 653          |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00201     |
|    std                  | 0.92         |
|    value_loss           | 1.71e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.08e+03    |
| time/                   |              |
|    fps                  | 695          |
|    iterations           | 24           |
|    time_elapsed         | 70           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0046172775 |
|    clip_fraction        | 0.0404       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 1.91e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 827          |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00249     |
|    std                  | 0.902        |
|    value_loss           | 1.98e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 200        |
|    ep_rew_mean          | -1.09e+03  |
| time/                   |            |
|    fps                  | 694        |
|    iterations           | 25         |
|    time_elapsed         | 73         |
|    total_timesteps      | 51200      |
| train/                  |            |
|    approx_kl            | 0.00408278 |
|    clip_fraction        | 0.0298     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.31      |
|    explained_variance   | 1.91e-06   |
|    learning_rate        | 0.0003     |
|    loss                 | 595        |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.00154   |
|    std                  | 0.888      |
|    value_loss           | 1.52e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.1e+03     |
| time/                   |              |
|    fps                  | 695          |
|    iterations           | 26           |
|    time_elapsed         | 76           |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0037730339 |
|    clip_fraction        | 0.04         |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | 2.5e-06      |
|    learning_rate        | 0.0003       |
|    loss                 | 695          |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.000773    |
|    std                  | 0.879        |
|    value_loss           | 1.44e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.09e+03    |
| time/                   |              |
|    fps                  | 692          |
|    iterations           | 27           |
|    time_elapsed         | 79           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0055302167 |
|    clip_fraction        | 0.0414       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | 2.62e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 783          |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00301     |
|    std                  | 0.885        |
|    value_loss           | 1.71e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.09e+03   |
| time/                   |             |
|    fps                  | 665         |
|    iterations           | 28          |
|    time_elapsed         | 86          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.013582285 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.28       |
|    explained_variance   | 2.38e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 257         |
|    n_updates            | 270         |
|    policy_gradient_loss | 7.18e-05    |
|    std                  | 0.863       |
|    value_loss           | 808         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.07e+03    |
| time/                   |              |
|    fps                  | 660          |
|    iterations           | 29           |
|    time_elapsed         | 89           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0043573407 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.00159      |
|    learning_rate        | 0.0003       |
|    loss                 | 292          |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00145     |
|    std                  | 0.847        |
|    value_loss           | 959          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.06e+03    |
| time/                   |              |
|    fps                  | 656          |
|    iterations           | 30           |
|    time_elapsed         | 93           |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0043749455 |
|    clip_fraction        | 0.0272       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | -0.159       |
|    learning_rate        | 0.0003       |
|    loss                 | 227          |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.0011      |
|    std                  | 0.848        |
|    value_loss           | 766          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.04e+03    |
| time/                   |              |
|    fps                  | 658          |
|    iterations           | 31           |
|    time_elapsed         | 96           |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0041198228 |
|    clip_fraction        | 0.0308       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.338        |
|    learning_rate        | 0.0003       |
|    loss                 | 380          |
|    n_updates            | 300          |
|    policy_gradient_loss | 0.000129     |
|    std                  | 0.843        |
|    value_loss           | 648          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.04e+03    |
| time/                   |              |
|    fps                  | 658          |
|    iterations           | 32           |
|    time_elapsed         | 99           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0055909725 |
|    clip_fraction        | 0.0525       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.317        |
|    learning_rate        | 0.0003       |
|    loss                 | 323          |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00175     |
|    std                  | 0.85         |
|    value_loss           | 585          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.02e+03    |
| time/                   |              |
|    fps                  | 659          |
|    iterations           | 33           |
|    time_elapsed         | 102          |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0048123803 |
|    clip_fraction        | 0.0479       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.295        |
|    learning_rate        | 0.0003       |
|    loss                 | 179          |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.0029      |
|    std                  | 0.853        |
|    value_loss           | 540          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.01e+03    |
| time/                   |              |
|    fps                  | 661          |
|    iterations           | 34           |
|    time_elapsed         | 105          |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0056570345 |
|    clip_fraction        | 0.0417       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.558        |
|    learning_rate        | 0.0003       |
|    loss                 | 99.8         |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.0018      |
|    std                  | 0.861        |
|    value_loss           | 379          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1e+03       |
| time/                   |              |
|    fps                  | 663          |
|    iterations           | 35           |
|    time_elapsed         | 108          |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0063317353 |
|    clip_fraction        | 0.0641       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.646        |
|    learning_rate        | 0.0003       |
|    loss                 | 103          |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00672     |
|    std                  | 0.844        |
|    value_loss           | 381          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -990         |
| time/                   |              |
|    fps                  | 664          |
|    iterations           | 36           |
|    time_elapsed         | 110          |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0055322135 |
|    clip_fraction        | 0.0709       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.721        |
|    learning_rate        | 0.0003       |
|    loss                 | 185          |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00551     |
|    std                  | 0.839        |
|    value_loss           | 302          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -994         |
| time/                   |              |
|    fps                  | 664          |
|    iterations           | 37           |
|    time_elapsed         | 114          |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0040464085 |
|    clip_fraction        | 0.0427       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.681        |
|    learning_rate        | 0.0003       |
|    loss                 | 271          |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00246     |
|    std                  | 0.832        |
|    value_loss           | 358          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -996        |
| time/                   |             |
|    fps                  | 664         |
|    iterations           | 38          |
|    time_elapsed         | 117         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.006408965 |
|    clip_fraction        | 0.0555      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.23       |
|    explained_variance   | 0.739       |
|    learning_rate        | 0.0003      |
|    loss                 | 180         |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00314    |
|    std                  | 0.821       |
|    value_loss           | 407         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -990         |
| time/                   |              |
|    fps                  | 665          |
|    iterations           | 39           |
|    time_elapsed         | 119          |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0036744932 |
|    clip_fraction        | 0.0362       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.798        |
|    learning_rate        | 0.0003       |
|    loss                 | 137          |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00257     |
|    std                  | 0.829        |
|    value_loss           | 335          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -991         |
| time/                   |              |
|    fps                  | 666          |
|    iterations           | 40           |
|    time_elapsed         | 122          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0042680544 |
|    clip_fraction        | 0.0406       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.739        |
|    learning_rate        | 0.0003       |
|    loss                 | 94.7         |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00137     |
|    std                  | 0.824        |
|    value_loss           | 234          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -987        |
| time/                   |             |
|    fps                  | 666         |
|    iterations           | 41          |
|    time_elapsed         | 126         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.004345613 |
|    clip_fraction        | 0.0371      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.2        |
|    explained_variance   | 0.772       |
|    learning_rate        | 0.0003      |
|    loss                 | 68.4        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0024     |
|    std                  | 0.793       |
|    value_loss           | 352         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -992         |
| time/                   |              |
|    fps                  | 666          |
|    iterations           | 42           |
|    time_elapsed         | 128          |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0055200383 |
|    clip_fraction        | 0.0504       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.2         |
|    explained_variance   | 0.857        |
|    learning_rate        | 0.0003       |
|    loss                 | 132          |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.0041      |
|    std                  | 0.809        |
|    value_loss           | 203          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -987        |
| time/                   |             |
|    fps                  | 668         |
|    iterations           | 43          |
|    time_elapsed         | 131         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.012551738 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.17       |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.0003      |
|    loss                 | 86.2        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0105     |
|    std                  | 0.77        |
|    value_loss           | 186         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -993         |
| time/                   |              |
|    fps                  | 669          |
|    iterations           | 44           |
|    time_elapsed         | 134          |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0043763397 |
|    clip_fraction        | 0.0398       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.16        |
|    explained_variance   | 0.821        |
|    learning_rate        | 0.0003       |
|    loss                 | 79.6         |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00212     |
|    std                  | 0.778        |
|    value_loss           | 186          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -984        |
| time/                   |             |
|    fps                  | 670         |
|    iterations           | 45          |
|    time_elapsed         | 137         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.007407623 |
|    clip_fraction        | 0.0852      |
|    clip_range           | 0.2         |
